[2021-05-25 17:35:53][1104][INFO]Convert file: freq: 48000, mode: 1, bps: 224, fd: 24.000000, name: D:\UserData\Administrator\Desktop\陈学冬-曲折(超清).mp3
[2021-05-25 17:45:17][1104][INFO]Convert file: freq: 48000, mode: 1, bps: 224, fd: 24.000000, name: D:\UserData\Administrator\Desktop\陈学冬-曲折(超清).mp3
[2022-10-25 17:41:59][1196][INFO]Convert file: freq: 11025, mode: 0, bps: 16, fd: 26.122450, name: D:\UserData\Administrator\Desktop\10.25\范丞丞 - 秘密.mp3
[2023-03-07 17:10:02][1376][INFO]Convert file: freq: 24000, mode: 1, bps: 48, fd: 24.000000, name: J:\杨中校园电视台 有你有我广播站\3.7\沐泽 - 女孩.mp3
[2023-03-07 17:46:52][1376][INFO]Convert file: freq: 24000, mode: 1, bps: 48, fd: 24.000000, name: J:\杨中校园电视台 有你有我广播站\3.7\沐泽 - 女孩.mp3
[2023-03-16 17:31:41][348][INFO]Convert file: freq: 44100, mode: 1, bps: 64, fd: 26.122450, name: D:\UserData\Administrator\Desktop\ditto.mp3
[2023-03-16 17:37:58][348][INFO]Convert file: freq: 44100, mode: 1, bps: 64, fd: 26.122450, name: D:\UserData\Administrator\Desktop\ditto.mp3
[2023-04-05 17:57:25][1136][INFO]Convert file: freq: 44100, mode: 1, bps: 64, fd: 26.122450, name: D:\UserData\Administrator\Desktop\ditto.mp3
[2023-04-05 17:57:46][1136][INFO]Convert file: freq: 44100, mode: 1, bps: 64, fd: 26.122450, name: D:\UserData\Administrator\Desktop\ditto.mp3
[2023-05-09 17:47:45][1096][INFO]Convert file: freq: 44100, mode: 1, bps: 64, fd: 26.122450, name: D:\UserData\Administrator\Desktop\ditto.mp3
[2023-05-09 18:00:54][1096][INFO]Convert file: freq: 44100, mode: 1, bps: 64, fd: 26.122450, name: D:\UserData\Administrator\Desktop\ditto.mp3
[2023-06-15 17:50:29][1136][INFO]Convert file: freq: 44100, mode: 1, bps: 64, fd: 26.122450, name: D:\UserData\Administrator\Desktop\ditto.mp3
[2023-06-15 17:51:54][1136][INFO]Convert file: freq: 44100, mode: 1, bps: 64, fd: 26.122450, name: D:\UserData\Administrator\Desktop\ditto.mp3
[2023-12-28 17:12:32][1100][INFO]Convert file: freq: 44100, mode: 0, bps: 128, fd: 26.122450, name: J:\广播\播音4.mp3
[2023-12-28 17:17:01][1100][INFO]Convert file: freq: 44100, mode: 0, bps: 128, fd: 26.122450, name: J:\广播\播音4.mp3
[2024-03-05 17:09:29][1092][INFO]Convert file: freq: 48000, mode: 1, bps: 128, fd: 24.000000, name: J:\gegege\周二广播.mp3
[2024-03-05 17:21:59][1092][INFO]Convert file: freq: 48000, mode: 1, bps: 128, fd: 24.000000, name: J:\gegege\周二广播.mp3
[2024-03-05 17:22:48][1092][INFO]Convert file: freq: 48000, mode: 1, bps: 128, fd: 24.000000, name: J:\gegege\周二广播.mp3
[2024-03-05 17:23:30][1092][INFO]Convert file: freq: 48000, mode: 1, bps: 128, fd: 24.000000, name: J:\gegege\周二广播.mp3
[2024-03-05 17:23:57][1092][INFO]Convert file: freq: 48000, mode: 1, bps: 128, fd: 24.000000, name: J:\gegege\周二广播.mp3
[2024-03-05 17:24:03][1092][INFO]Convert file: freq: 48000, mode: 1, bps: 128, fd: 24.000000, name: J:\gegege\周二广播.mp3
[2024-03-05 17:24:05][1092][INFO]Convert file: freq: 48000, mode: 1, bps: 128, fd: 24.000000, name: J:\gegege\周二广播.mp3
[2024-03-05 17:40:38][1092][INFO]Convert file: freq: 48000, mode: 1, bps: 128, fd: 24.000000, name: J:\gegege\周二广播.mp3
[2024-03-19 17:21:54][412][INFO]Convert file: freq: 44100, mode: 0, bps: 128, fd: 26.122450, name: J:\3.19音频.mp3
[2024-03-19 17:24:39][412][INFO]Convert file: freq: 44100, mode: 0, bps: 128, fd: 26.122450, name: J:\3.19音频.mp3
[2024-03-21 17:17:14][676][INFO]Convert file: freq: 44100, mode: 0, bps: 128, fd: 26.122450, name: J:\周四广播\3.14\播音-20240310135650.mp3
